non_ipa,ipa,chart,height/manner,place/color,misc1,misc2
l+J,l̟ʲ,consonant,lateral-approximant,advanced-lateral,voiced,palatalized
AUTO(l̪),lʲ̪,consonant,lateral-approximant,dental,voiced,palatalized
l5j,l̪ʲ,consonant,lateral-approximant,dental,voiced,palatalized
NEW,l̪͆ʲ,consonant,lateral-approximant,interdental,voiced,palatalized
lJ,lʲ,consonant,lateral-approximant,lateral,voiced,palatalized
n+’,n̟ʲ,consonant,nasal,advanced-alveolar,voiced,palatalized
n+J,n̟ʲ,consonant,nasal,advanced-alveolar,voiced,palatalized
nJ,nʲ,consonant,nasal,alveolar,voiced,palatalized
ny,nʲ,consonant,nasal,alveolar,voiced,palatalized
mJ,mʲ,consonant,nasal,bilabial,voiced,palatalized
AUTO(n̪),nʲ̪,consonant,nasal,dental,voiced,palatalized
n5j,n̪ʲ,consonant,nasal,dental,voiced,palatalized
NEW,n̪͆ʲ,consonant,nasal,interdental,voiced,palatalized
AUTO(ɱ),ɱʲ,consonant,nasal,labiodental,voiced,palatalized
Nƒmj,ŋ͡mʲ,consonant,nasal,labiovelar,voiced,palatalized
Nmj,ŋ͡mʲ,consonant,nasal,labiovelar,voiced,palatalized
AUTO(ɲ),ɲʲ,consonant,nasal,palatal,voiced,palatalized
AUTO(ŋ),ŋʲ,consonant,nasal,velar,voiced,palatalized
dj,dʲ,consonant,stop,alveolar,voiced,palatalized
dJ,dʲ,consonant,stop,alveolar,voiced,palatalized
dy,dʲ,consonant,stop,alveolar,voiced,palatalized
bJ,bʲ,consonant,stop,bilabial,voiced,palatalized
bj,bʲ,consonant,stop,bilabial,voiced,palatalized
by,bʲ,consonant,stop,bilabial,voiced,palatalized
AUTO(d̪),dʲ̪,consonant,stop,dental,voiced,palatalized
d5j,d̪ʲ,consonant,stop,dental,voiced,palatalized
gƒbj,ɡ͡bʲ,consonant,stop,labiovelar,voiced,palatalized
AUTO(ɟ),ɟʲ,consonant,stop,palatal,voiced,palatalized
NEW_PARAMETER,ɡ̟ʲ,consonant,stop,prevelar,voiced,palatalized
êj,ɖʲ,consonant,stop,retroflex,voiced,palatalized
AUTO(ɢ),ɢʲ,consonant,stop,uvular,voiced,palatalized
gJ,ɡʲ,consonant,stop,velar,voiced,palatalized
r+j,r̟ʲ,consonant,trill,advanced-alveolar,voiced,palatalized
r+J,r̟ʲ,consonant,trill,advanced-alveolar,voiced,palatalized
rJ,rʲ,consonant,trill,alveolar,voiced,palatalized
r5j,r̪ʲ,consonant,trill,dental,voiced,palatalized
ndJ,ⁿdʲ,consonant,stop,alveolar,voiced,palatalized_prenasalized
mbJ,ᵐbʲ,consonant,stop,bilabial,voiced,palatalized_prenasalized
w³,wˤ,consonant,approximant,labiovelar,voiced,pharyngealized
R³,ɾˤ,consonant,flap,alveolar,voiced,pharyngealized
R5³,ɾ̪ˤ,consonant,flap,dental,voiced,pharyngealized
zÖ,zˤ,consonant,fricative,alveolar,voiced,pharyngealized
z³,zˤ,consonant,fricative,alveolar,voiced,pharyngealized
AUTO(z),zˁ,consonant,fricative,alveolar,voiced,pharyngealized
z5Ö,z̪ˤ,consonant,fricative,dental,voiced,pharyngealized
z5³,z̪ˤ,consonant,fricative,dental,voiced,pharyngealized
DÖ,ðˤ,consonant,fricative,interdental,voiced,pharyngealized
D³,ðˤ,consonant,fricative,interdental,voiced,pharyngealized
AUTO(ð),ðˁ,consonant,fricative,interdental,voiced,pharyngealized
v³,vˤ,consonant,fricative,labiodental,voiced,pharyngealized
z6Ö,z̻ˤ,consonant,fricative,laminal-alveolar,voiced,pharyngealized
Ò³,ʁˤ,consonant,fricative,uvular,voiced,pharyngealized
l5Ö,l̪ˤ,consonant,lateral-approximant,dental,voiced,pharyngealized
l5³,l̪ˤ,consonant,lateral-approximant,dental,voiced,pharyngealized
lÖ,lˤ,consonant,lateral-approximant,lateral,voiced,pharyngealized
nÖ,nˤ,consonant,nasal,alveolar,voiced,pharyngealized
n³,nˤ,consonant,nasal,alveolar,voiced,pharyngealized
m³,mˤ,consonant,nasal,bilabial,voiced,pharyngealized
